recipe_id,period_id,start,end,days,scheduled_slots,executed_slots,executed_days,executed_day_fraction,executed_slot_fraction,executed_hit_rate,gross_mean_pct,net20_mean_pct,net20_median_pct,net40_mean_pct,profit_factor_net20,top5_removed_net20_mean_pct,positive_months,months,positive_month_fraction,largest_day_share_of_positive_profit,paired_uplift_vs_forced_pct
veto_deep_60d_relative_loser,replay_a,2024-11-01,2024-12-30,41,82,42,33,0.8048780487804879,0.5121951219512195,0.7857142857142857,0.5935298239260368,0.4910907995357929,0.1373417721519,0.38865177514554905,5.30520949788516,0.2236443486043026,2,2,1.0,0.13278994899652388,0.0727797809153889
veto_deep_60d_relative_loser,replay_b,2025-01-06,2025-03-31,57,114,73,50,0.8771929824561403,0.6403508771929824,0.4794520547945205,-0.02979398226134513,-0.15786415769994167,-0.01304347826086566,-0.28593433313853817,0.6799809752436389,-0.35920280779842734,1,3,0.3333333333333333,0.1273125721808737,0.26401429316970304
veto_deep_60d_relative_loser,replay_c,2025-04-01,2025-07-31,84,168,131,80,0.9523809523809523,0.7797619047619048,0.44274809160305345,-0.11532150129853672,-0.27127388225091764,-0.13983310359363932,-0.42722626320329854,0.6180413492415444,-0.4791879652196187,1,4,0.25,0.10681657397578533,0.2526434589244012
veto_deep_60d_relative_loser,replay_combined,2024-11-01,2025-07-31,182,364,246,163,0.8956043956043956,0.6758241758241759,0.5121951219512195,0.07115087737908657,-0.0640139577857486,0.0,-0.19917879295058377,0.8739842038065845,-0.15823872737859782,4,9,0.4444444444444444,0.04874189746736535,0.21568591361458092
veto_deep_60d_relative_loser,retrospective_union,2024-07-01,2025-07-31,266,532,362,239,0.8984962406015038,0.6804511278195489,0.47513812154696133,-0.034560385467561294,-0.17065061103147106,0.0,-0.3067408365953809,0.7265239186953887,-0.24864056119540048,5,13,0.38461538461538464,0.038121438606474566,0.20819375066854998
veto_frequent_flat_session,error_discovery,2024-07-01,2024-10-31,84,168,129,76,0.9047619047619048,0.7678571428571429,0.3643410852713178,-0.3201939971423135,-0.47376542571374197,-0.15960852692329924,-0.6273368542851706,0.5115957563990633,-0.754264878124074,1,4,0.25,0.11864831118679912,0.11989199830227745
veto_frequent_flat_session,replay_a,2024-11-01,2024-12-30,41,82,70,40,0.975609756097561,0.8536585365853658,0.6428571428571429,0.6764989851564153,0.505767277839342,0.591244239631339,0.3350355705222689,2.1900448318143257,0.15011639637262708,2,2,1.0,0.09140068689639941,0.08745625921893802
veto_frequent_flat_session,replay_b,2025-01-06,2025-03-31,57,114,88,54,0.9473684210526315,0.7719298245614035,0.4772727272727273,-0.1747247768006826,-0.3291107417129634,0.0,-0.483496706625244,0.5482501104703779,-0.5412949085015419,0,3,0.0,0.10691855085543325,0.09276770915668134
veto_frequent_flat_session,replay_c,2025-04-01,2025-07-31,84,168,139,82,0.9761904761904762,0.8273809523809523,0.4460431654676259,-0.13876619188615646,-0.30424238236234696,-0.17444345748666418,-0.46971857283853735,0.5412749254961075,-0.49489495594833827,2,4,0.5,0.11054343506784958,0.219674958812972
veto_frequent_flat_session,replay_combined,2024-11-01,2025-07-31,182,364,297,176,0.967032967032967,0.8159340659340659,0.5016835016835017,0.033630692282071314,-0.12955612090474194,-0.038124101088965356,-0.29274293409155505,0.7943599083425024,-0.22548467279191453,4,9,0.4444444444444444,0.038294365180524655,0.1501437504955876
veto_frequent_flat_session,retrospective_union,2024-07-01,2025-07-31,266,532,426,252,0.9473684210526315,0.8007518796992481,0.460093896713615,-0.07810342016773442,-0.23825379610758407,-0.08806320533080159,-0.39840417204743367,0.6768943030577063,-0.32008197319644666,5,13,0.38461538461538464,0.037252378449799554,0.140590565592437
veto_large_positive_overnight,error_discovery,2024-07-01,2024-10-31,84,168,110,67,0.7976190476190477,0.6547619047619048,0.39090909090909093,-0.27003298388528696,-0.4009853648376679,-0.08256779211908409,-0.5319377457900488,0.4783073446185829,-0.619335952399568,0,4,0.0,0.14562566201861743,0.19267205917835162
veto_large_positive_overnight,replay_a,2024-11-01,2024-12-30,41,82,69,40,0.975609756097561,0.8414634146341463,0.6521739130434783,0.6590687413126127,0.49077605838578336,0.5186013775365372,0.32248337545895417,2.232971748040653,0.14577076692567678,2,2,1.0,0.095714205537606,0.07246503976537934
veto_large_positive_overnight,replay_b,2025-01-06,2025-03-31,57,114,94,53,0.9298245614035088,0.8245614035087719,0.46808510638297873,-0.21488140801389802,-0.37979368871565244,-0.1,-0.5447059694174068,0.44862640855781344,-0.5724966212749929,0,3,0.0,0.13734340056275832,0.04208476215399225
veto_large_positive_overnight,replay_c,2025-04-01,2025-07-31,84,168,142,80,0.9523809523809523,0.8452380952380952,0.44366197183098594,-0.17844347006439443,-0.34749108911201343,-0.21935860986800879,-0.5165387081596327,0.5243290097139964,-0.5647015120011938,1,4,0.25,0.10912503451970781,0.1764262520633054
veto_large_positive_overnight,replay_combined,2024-11-01,2025-07-31,182,364,305,173,0.9505494505494505,0.8379120879120879,0.49836065573770494,-0.0011850183977153868,-0.16876743598013297,-0.05827910605891973,-0.33634985356255054,0.7373528356359185,-0.2684863307647275,3,9,0.3333333333333333,0.04071757400914894,0.11093243542019651
veto_large_positive_overnight,retrospective_union,2024-07-01,2025-07-31,266,532,415,240,0.9022556390977443,0.7800751879699248,0.46987951807228917,-0.08608437592010641,-0.24209941351409142,-0.05827910605891973,-0.39811445110807636,0.6452089837074275,-0.31670788586553883,3,13,0.23076923076923078,0.03840032346293266,0.13674494818592967
veto_any_1_of_5,error_discovery,2024-07-01,2024-10-31,84,168,46,41,0.4880952380952381,0.27380952380952384,0.45652173913043476,-0.04764427326857583,-0.1024061780304806,0.0,-0.15716808279238534,0.6563298976828545,-0.24638476042341453,2,4,0.5,0.23747812187043857,0.4912512459855388
veto_any_1_of_5,replay_a,2024-11-01,2024-12-30,41,82,28,25,0.6097560975609756,0.34146341463414637,0.7857142857142857,0.46184268859450156,0.3935500056676722,0.0,0.3252573227408429,5.3716098230003295,0.1412955236837129,2,2,1.0,0.1362680863370805,-0.024761012952731847
veto_any_1_of_5,replay_b,2025-01-06,2025-03-31,57,114,45,37,0.6491228070175439,0.39473684210526316,0.5111111111111111,-0.02166063873783673,-0.1006080071588894,0.0,-0.179555375579942,0.7050976411972015,-0.27125114689739716,0,3,0.0,0.17753019570998993,0.3212704437107553
veto_any_1_of_5,replay_c,2025-04-01,2025-07-31,84,168,90,64,0.7619047619047619,0.5357142857142857,0.45555555555555555,-0.004818616574304344,-0.1119614737171615,0.0,-0.21910433086001857,0.7215875466727253,-0.2636280072000558,1,4,0.25,0.13675685966204673,0.41195586745815743
veto_any_1_of_5,replay_combined,2024-11-01,2025-07-31,182,364,163,126,0.6923076923076923,0.4478021978021978,0.5276073619631901,0.09503368149492476,0.005473241934485164,0.0,-0.08408719762595437,1.0175014796815436,-0.07314157800091851,3,9,0.3333333333333333,0.057560037614686206,0.2851731133348146
veto_any_1_of_5,retrospective_union,2024-07-01,2025-07-31,266,532,209,167,0.6278195488721805,0.39285714285714285,0.5119617224880383,0.04997748525381929,-0.028593943317609283,0.0,-0.10716537188903785,0.9071841230843414,-0.08818126793860936,5,13,0.38461538461538464,0.052478405149045435,0.35025041838241183
veto_any_2_of_5,error_discovery,2024-07-01,2024-10-31,84,168,109,73,0.8690476190476191,0.6488095238095238,0.44036697247706424,0.019222911863012577,-0.11053899289889223,-0.06405530468153994,-0.24030089766079693,0.8199484573506078,-0.34797000639937387,1,4,0.25,0.106353932276663,0.4831184311171272
veto_any_2_of_5,replay_a,2024-11-01,2024-12-30,41,82,58,40,0.975609756097561,0.7073170731707317,0.7068965517241379,0.8189820619591648,0.6775186473250183,0.591244239631339,0.5360552326908721,4.236354419069468,0.3761975003330733,2,2,1.0,0.08363937843680529,0.2592076287046143
veto_any_2_of_5,replay_b,2025-01-06,2025-03-31,57,114,83,53,0.9298245614035088,0.7280701754385965,0.4819277108433735,-0.09724122075662382,-0.24285525584434317,-0.1,-0.38846929093206245,0.5965475505019169,-0.4495008687171271,0,3,0.0,0.11892566179603324,0.17902319502530153
veto_any_2_of_5,replay_c,2025-04-01,2025-07-31,84,168,121,75,0.8928571428571429,0.7202380952380952,0.45454545454545453,-0.035851194754763185,-0.17989881380238226,-0.038124101088965356,-0.3239464328500013,0.6673993183649073,-0.36058081259865976,1,4,0.25,0.11579088239862499,0.34401852737293664
veto_any_2_of_5,replay_combined,2024-11-01,2025-07-31,182,364,262,168,0.9230769230769231,0.7197802197802198,0.5190839694656488,0.13749458570218728,-0.006461458253856696,0.0,-0.1504175022099006,0.9866861981125,-0.09445710320823081,3,9,0.3333333333333333,0.04028706965151981,0.2732384131464728
veto_any_2_of_5,retrospective_union,2024-07-01,2025-07-31,266,532,371,241,0.9060150375939849,0.6973684210526315,0.49595687331536387,0.10014563606876367,-0.03932804814176266,0.0,-0.17880173235228897,0.9252224360256026,-0.11135633995523074,4,13,0.3076923076923077,0.03474394876535024,0.3395163135582584
veto_any_3_of_5,error_discovery,2024-07-01,2024-10-31,84,168,142,81,0.9642857142857143,0.8452380952380952,0.3873239436619718,-0.2641773800741484,-0.4332249991217673,-0.18470708291983814,-0.6022726181693864,0.5436365058106774,-0.7111586017477971,1,4,0.25,0.11409357911049928,0.1604324248942521
veto_any_3_of_5,replay_a,2024-11-01,2024-12-30,41,82,74,41,1.0,0.9024390243902439,0.6891891891891891,0.8583028364247635,0.6778150315467146,0.6568376068376125,0.49732722666866586,3.1694003448766277,0.34318006065657797,2,2,1.0,0.08590951720902361,0.25950401292631053
veto_any_3_of_5,replay_b,2025-01-06,2025-03-31,57,114,103,57,1.0,0.9035087719298246,0.46601941747572817,-0.18113804162345992,-0.3618397960094249,-0.25414012738853553,-0.5425415503953896,0.48404030141586935,-0.5614062257728948,0,3,0.0,0.1250294558283423,0.06003865486021982
veto_any_3_of_5,replay_c,2025-04-01,2025-07-31,84,168,146,80,0.9523809523809523,0.8690476190476191,0.4178082191780822,-0.20924568695329065,-0.38305521076281446,-0.17288019983850966,-0.5568647345723383,0.47550355572168357,-0.5678200018950493,0,4,0.0,0.1088114965418734,0.14086213041250445
veto_any_3_of_5,replay_combined,2024-11-01,2025-07-31,182,364,323,178,0.978021978021978,0.8873626373626373,0.4953560371517028,0.04004895723517406,-0.13742357023735355,-0.05827910605891973,-0.314896097709881,0.7808575586044645,-0.23060570169832767,2,9,0.2222222222222222,0.03913774404782164,0.14227630116297602
veto_any_3_of_5,retrospective_union,2024-07-01,2025-07-31,266,532,465,259,0.9736842105263158,0.8740601503759399,0.46236559139784944,-0.05602251770461199,-0.23083454777979995,-0.1051982216124179,-0.40564657785498787,0.6832870707779171,-0.3123721190395389,3,13,0.23076923076923078,0.03733635015488664,0.14800981392022108
