feature_set,portfolio_top_k,date,code,name,model_rank,model_score,label,oc_return_pct,outcome_observed,source_complete,universe_source_complete,universe_source_date,tdnet_any,tdnet_positive,tdnet_negative
baseline_tdnet_timing_clear,2,2024-10-15,9601,松竹,1,0.5838593332253633,1.0,0.9304812834224574,True,True,True,2024-10-11,1.0,0.0,0.0
baseline_tdnet_timing_clear,2,2024-10-15,9418,Ｕ−ＮＥＸＴ ＨＯＬＤＩＮＧＳ,2,0.571911931057342,0.0,-1.3671875,True,True,True,2024-10-11,0.0,0.0,0.0
baseline_tdnet_timing_clear,2,2024-10-16,9024,⻄武ホールディングス,1,0.5745401006578746,0.0,-1.2481426448736954,True,True,True,2024-10-15,0.0,0.0,0.0
baseline_tdnet_timing_clear,2,2024-10-16,1407,ウエストホールディングス,2,0.5700462708671535,0.0,-8.89627168696936,True,True,True,2024-10-15,1.0,0.0,0.0
baseline_tdnet_timing_clear,2,2024-10-17,9024,⻄武ホールディングス,1,0.5719907687363964,1.0,1.2124886329190732,True,True,True,2024-10-16,0.0,0.0,0.0
baseline_tdnet_timing_clear,2,2024-10-17,7061,日本ホスピスホールディングス,2,0.5673560601267743,1.0,0.0683060109289535,True,True,True,2024-10-16,0.0,0.0,0.0
baseline_tdnet_timing_clear,2,2024-10-18,4429,リックソフト,1,0.5812677821838097,0.0,-2.2346368715083775,True,True,True,2024-10-17,0.0,0.0,0.0
baseline_tdnet_timing_clear,2,2024-10-18,5218,オハラ,2,0.5626681331885356,1.0,0.7570022710068125,True,True,True,2024-10-17,0.0,0.0,0.0
baseline_tdnet_timing_clear,2,2024-10-21,4014,カラダノート,1,0.6009702821112638,1.0,3.106796116504862,True,True,True,2024-10-18,0.0,0.0,0.0
baseline_tdnet_timing_clear,2,2024-10-21,5449,大阪製鐵,2,0.570856359072834,0.0,-0.45045045045044585,True,True,True,2024-10-18,0.0,0.0,0.0
baseline_tdnet_timing_clear,2,2024-10-22,3031,ラクーンホールディングス,1,0.5679480130164185,1.0,1.8041237113401998,True,True,True,2024-10-21,1.0,1.0,0.0
baseline_tdnet_timing_clear,2,2024-10-22,2138,クルーズ,2,0.5608908165680823,0.0,-1.1437908496731986,True,True,True,2024-10-21,0.0,0.0,0.0
baseline_tdnet_timing_clear,2,2024-10-23,7061,日本ホスピスホールディングス,1,0.5775634851298949,0.0,-3.5739313244569026,True,True,True,2024-10-22,0.0,0.0,0.0
baseline_tdnet_timing_clear,2,2024-10-23,4384,ラクスル,2,0.5655843104803272,1.0,0.8921330089213253,True,True,True,2024-10-22,0.0,0.0,0.0
baseline_tdnet_timing_clear,2,2024-10-24,7061,日本ホスピスホールディングス,1,0.5821928838093124,0.0,-0.513950073421443,True,True,True,2024-10-23,0.0,0.0,0.0
baseline_tdnet_timing_clear,2,2024-10-24,4060,ｒａｋｕｍｏ,2,0.5714513079934879,1.0,2.3227383863080764,True,True,True,2024-10-23,0.0,0.0,0.0
baseline_tdnet_timing_clear,2,2024-10-25,7061,日本ホスピスホールディングス,1,0.5695360404105861,0.0,-1.2583271650629113,True,True,True,2024-10-24,0.0,0.0,0.0
baseline_tdnet_timing_clear,2,2024-10-25,4361,川口化学⼯業,2,0.5655409814361607,0.0,-0.6269592476489061,True,True,True,2024-10-24,0.0,0.0,0.0
baseline_tdnet_timing_clear,2,2024-10-28,4811,ドリーム・アーツ,1,0.5692846879950035,1.0,6.919396393080612,True,True,True,2024-10-25,0.0,0.0,0.0
baseline_tdnet_timing_clear,2,2024-10-28,7061,日本ホスピスホールディングス,2,0.56585928410516,1.0,5.909090909090908,True,True,True,2024-10-25,0.0,0.0,0.0
baseline_tdnet_timing_clear,2,2024-10-29,3663,セルシス,1,0.5588451304251182,1.0,3.5031847133758065,True,True,True,2024-10-28,0.0,0.0,0.0
baseline_tdnet_timing_clear,2,2024-10-29,4119,日本ピグメントホールディングス,2,0.5524368846490801,0.0,-2.2187004754358197,True,True,True,2024-10-28,0.0,0.0,0.0
baseline_tdnet_timing_clear,2,2024-10-30,4612,日本ペイントホールディングス,1,0.5900081716371575,0.0,-0.7569386038687953,True,True,True,2024-10-29,0.0,0.0,0.0
baseline_tdnet_timing_clear,2,2024-10-30,6866,日置電機,2,0.5680563822281557,1.0,1.3664596273291973,True,True,True,2024-10-29,0.0,0.0,0.0
baseline_tdnet_timing_clear,2,2024-10-31,7278,エクセディ,1,0.5700357847906254,1.0,2.6731470230862753,True,True,True,2024-10-30,0.0,0.0,0.0
baseline_tdnet_timing_clear,2,2024-10-31,3529,アツギ,2,0.5699163909231557,1.0,9.394313967861567,True,True,True,2024-10-30,1.0,0.0,0.0
