period_id,marker,state,candidate_rows,observed_return_rows,mean_oc_return_pct,median_oc_return_pct,loss_rate,catastrophic_loss_rate
replay_b,deep_60d_relative_loser,marked,41,41,-0.5340885224718572,-0.3533568904593664,0.5365853658536586,0.04878048780487805
replay_b,deep_60d_relative_loser,unmarked,60,60,-0.13712131848139814,-0.0192233756247606,0.5,0.016666666666666666
replay_b,deep_60d_relative_loser,unavailable,13,13,0.3715973177761955,0.1739130434782687,0.46153846153846156,0.0
replay_b,frequent_flat_session,marked,26,26,-0.20675072476391038,-0.36005252835926704,0.5769230769230769,0.038461538461538464
replay_b,frequent_flat_session,unmarked,88,88,-0.22634800630997523,0.0,0.48863636363636365,0.022727272727272728
replay_b,frequent_flat_session,unavailable,0,0,,,,
replay_b,large_positive_overnight,marked,20,20,-0.039883144277755876,-0.31221420229904373,0.55,0.0
replay_b,large_positive_overnight,unmarked,94,94,-0.2606008565274933,-0.01831501831501825,0.5,0.031914893617021274
replay_b,large_positive_overnight,unavailable,0,0,,,,
replay_b,count_ge_1,marked,69,69,-0.33079464613081305,-0.3533568904593664,0.5507246376811594,0.028985507246376812
replay_b,count_ge_1,unmarked,31,31,-0.25699176173776095,0.0,0.45161290322580644,0.03225806451612903
replay_b,count_ge_1,unavailable,14,14,0.3926736998398001,0.22740595994138466,0.42857142857142855,0.0
replay_b,count_ge_2,marked,31,31,-0.45834336235110873,-0.588235294117645,0.5806451612903226,0.06451612903225806
replay_b,count_ge_2,unmarked,69,69,-0.24033233281177274,0.0,0.4927536231884058,0.014492753623188406
replay_b,count_ge_2,unavailable,14,14,0.3926736998398001,0.22740595994138466,0.42857142857142855,0.0
replay_b,count_ge_3,marked,11,11,-0.42221878673318736,-0.3533568904593664,0.5454545454545454,0.09090909090909091
replay_b,count_ge_3,unmarked,89,89,-0.2937884105936138,-0.0656167979002586,0.5168539325842697,0.02247191011235955
replay_b,count_ge_3,unavailable,14,14,0.3926736998398001,0.22740595994138466,0.42857142857142855,0.0
replay_c,range_expansion,marked,31,31,-0.7617676606117925,-0.4498977505112522,0.5483870967741935,0.0967741935483871
replay_c,range_expansion,unmarked,137,136,-0.2279655576359412,-0.19149617118870416,0.5220588235294118,0.014705882352941176
replay_c,range_expansion,unavailable,0,0,,,,
replay_c,close_volatility_expansion,marked,29,29,-0.42323326707664555,-0.4498977505112522,0.5517241379310345,0.06896551724137931
replay_c,close_volatility_expansion,unmarked,139,138,-0.3068431055958757,-0.18927177049737334,0.5217391304347826,0.021739130434782608
replay_c,close_volatility_expansion,unavailable,0,0,,,,
replay_c,deep_60d_relative_loser,marked,37,36,-0.9790028083138724,-0.5024535503082683,0.5833333333333334,0.027777777777777776
replay_c,deep_60d_relative_loser,unmarked,120,120,-0.036130801838616125,0.0,0.48333333333333334,0.03333333333333333
replay_c,deep_60d_relative_loser,unavailable,11,11,-1.3671196361382032,-1.544401544401541,0.8181818181818182,0.0
replay_c,frequent_flat_session,marked,28,28,-1.1180497528778317,-1.3284171900359856,0.6785714285714286,0.10714285714285714
replay_c,frequent_flat_session,unmarked,140,139,-0.1677174117760739,0.0,0.49640287769784175,0.014388489208633094
replay_c,frequent_flat_session,unavailable,0,0,,,,
replay_c,large_positive_overnight,marked,25,25,-0.9855844138654123,-0.7052186177715081,0.6,0.08
replay_c,large_positive_overnight,unmarked,143,142,-0.21111621810435396,-0.1433161887749334,0.5140845070422535,0.02112676056338028
replay_c,large_positive_overnight,unavailable,0,0,,,,
replay_c,count_ge_1,marked,78,77,-0.6988128017268889,-0.4739336492891044,0.5714285714285714,0.06493506493506493
replay_c,count_ge_1,unmarked,79,79,0.18011124573464699,0.0,0.4430379746835443,0.0
replay_c,count_ge_1,unavailable,11,11,-1.3671196361382032,-1.544401544401541,0.8181818181818182,0.0
replay_c,count_ge_2,marked,46,46,-1.056415491275073,-1.0092477532194888,0.6304347826086957,0.08695652173913043
replay_c,count_ge_2,unmarked,111,110,0.08195741162472743,0.0,0.45454545454545453,0.00909090909090909
replay_c,count_ge_2,unavailable,11,11,-1.3671196361382032,-1.544401544401541,0.8181818181818182,0.0
replay_c,count_ge_3,marked,21,21,-0.9268970433000354,-1.4500836586726185,0.5238095238095238,0.09523809523809523
replay_c,count_ge_3,unmarked,136,135,-0.1489996993380192,-0.1096892138939709,0.5037037037037037,0.022222222222222223
replay_c,count_ge_3,unavailable,11,11,-1.3671196361382032,-1.544401544401541,0.8181818181818182,0.0
