date,model_rank,code,name,model_score,trade_allowed,label,oc_return_pct,hypothesis_id,policy_id,capacity,executed
2024-12-04,1,4465,ニイタカ,0.11851318180561066,True,0.0,-0.2134471718249764,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-12-05,1,4267,ライトワークス,0.13122284412384033,True,0.0,0.0,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-12-06,1,4267,ライトワークス,0.1295972615480423,True,0.0,-0.0970873786407811,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-12-09,1,4267,ライトワークス,0.1236300840973854,True,1.0,1.4577259475218707,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-12-10,1,4267,ライトワークス,0.13869038224220276,True,1.0,0.674373795761074,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-12-11,1,4267,ライトワークス,0.12275578081607819,True,1.0,0.4812319538017418,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-12-12,1,4267,ライトワークス,0.11501143872737885,True,1.0,1.9361084220716362,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-12-13,1,6898,トミタ電機,0.10768412798643112,True,0.0,-0.27260336210813696,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-12-16,1,9159,Ｗ ＴＯＫＹＯ,0.11205931007862091,True,0.0,-1.2820512820512775,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-12-17,1,9159,Ｗ ＴＯＫＹＯ,0.12393818795681,True,1.0,0.6999999999999895,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-12-18,1,4267,ライトワークス,0.1212352067232132,True,1.0,1.4778325123152802,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-12-19,1,7345,アイ・パートナーズフィナンシャル,0.10937527567148209,True,0.0,0.0,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-12-20,1,7345,アイ・パートナーズフィナンシャル,0.12858307361602783,True,0.0,-1.379310344827589,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-12-23,1,7345,アイ・パートナーズフィナンシャル,0.13395540416240692,True,1.0,3.6231884057970953,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-12-24,1,9159,Ｗ ＴＯＫＹＯ,0.10716656595468521,True,0.0,-1.4609571788413045,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-12-25,1,9159,Ｗ ＴＯＫＹＯ,0.12743984162807465,True,0.0,-3.490759753593431,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-12-26,1,9159,Ｗ ＴＯＫＹＯ,0.1268637776374817,True,0.0,-2.6687598116169498,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-12-27,1,9159,Ｗ ＴＯＫＹＯ,0.10644185543060303,True,1.0,2.5515743756786113,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-12-30,1,3800,ユニリタ,0.11077114939689636,True,0.0,0.0,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2025-01-06,1,3800,ユニリタ,0.11270362883806229,True,0.0,0.0,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2025-01-07,1,1994,高橋カーテンウォール⼯業,0.10852880030870438,True,0.0,-2.0905923344947785,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2025-01-08,1,1994,高橋カーテンウォール⼯業,0.11980918794870377,True,1.0,1.073345259391778,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2025-01-09,1,3800,ユニリタ,0.11122303456068039,True,0.0,-0.10035122930256435,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2025-01-10,1,1994,高橋カーテンウォール⼯業,0.08326845616102219,True,0.0,0.0,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2025-01-14,1,9661,歌舞伎座,0.07620629668235779,True,0.0,-0.6571741511500528,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2025-01-15,1,9355,リンコーコーポレーション,0.0999467596411705,True,0.0,-1.1571254567600442,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2025-01-16,1,4429,リックソフト,0.09775319695472717,True,0.0,-4.30622009569378,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2025-01-17,1,9250,ＧＲＣＳ,0.10304135829210281,True,0.0,-0.5751258087706712,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2025-01-20,1,9241,フューチャーリンクネットワーク,0.09930925071239471,True,1.0,2.305721605465405,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2025-01-21,1,9362,兵機海運,0.1131458729505539,True,0.0,0.0,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2025-01-22,1,9241,フューチャーリンクネットワーク,0.1072089672088623,True,1.0,1.6142050040355072,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2025-01-23,1,3238,セントラル総合開発,0.12510165572166443,True,1.0,0.42105263157894424,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2025-01-24,1,3238,セントラル総合開発,0.12733352184295654,True,1.0,0.21052631578948322,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2025-01-27,1,3238,セントラル総合開発,0.14122645556926727,True,0.0,-0.42105263157894424,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2025-01-28,1,8066,三⾕商事,0.12115754932165146,True,1.0,1.1657374556512945,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2025-01-29,1,3238,セントラル総合開発,0.13608674705028534,True,1.0,0.2123142250530785,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2025-01-30,1,3238,セントラル総合開発,0.12565268576145172,True,1.0,0.6382978723404209,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2025-01-31,1,3238,セントラル総合開発,0.11973346769809723,True,0.0,-0.6342494714587699,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2025-02-03,1,3238,セントラル総合開発,0.10675884038209915,True,1.0,0.42553191489360653,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2025-02-04,1,4424,Ａｍａｚｉａ,0.10659737139940262,True,1.0,0.6514657980456029,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2025-02-05,1,4380,Ｍマート,0.11910618096590042,True,1.0,0.43859649122806044,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2025-02-06,1,4380,Ｍマート,0.09958318620920181,True,0.0,0.0,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2025-02-07,1,6193,バーチャレクス・ホールディングス,0.10618797689676285,True,0.0,0.0,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2025-02-10,1,6161,エスティック,0.0978996753692627,True,1.0,1.661129568106312,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2025-02-12,1,4783,ＮＣＤ,0.11839522421360016,True,1.0,1.0204081632652962,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2025-02-13,1,7043,アルー,0.11957889795303345,True,1.0,4.813664596273282,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2025-02-14,1,3800,ユニリタ,0.12169740349054337,True,1.0,0.10040160642570406,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2025-02-17,1,3800,ユニリタ,0.10657308250665665,True,1.0,0.05025125628139726,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2025-02-18,1,3238,セントラル総合開発,0.11127059906721115,True,1.0,1.0845986984815648,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2025-02-19,1,7043,アルー,0.11297076940536499,True,1.0,2.84005979073243,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2025-02-20,1,3800,ユニリタ,0.10621674358844757,True,1.0,0.1506024096385561,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
