date,policy_id,hypothesis_id,capacity,slot,code,name,uplift_score_pct,oc_return_pct,label
2025-06-03,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,,,,,
2025-06-04,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,6201,豊⽥自動織機,0.6681283030307603,1.2812499999999893,1.0
2025-06-05,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,,,,,
2025-06-06,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,,,,,
2025-06-09,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,7605,フジ・コーポレーション,0.7127670442724856,0.0,0.0
2025-06-10,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,9444,トーシンホールディングス,0.7914575557495556,0.32102728731941976,1.0
2025-06-11,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,,,,,
2025-06-12,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,,,,,
2025-06-13,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,8267,イオン,0.41891917778472854,2.7957486136783727,1.0
2025-06-17,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,3688,ＣＡＲＴＡ ＨＯＬＤＩＮＧＳ,1.5789965738761522,0.0,0.0
2025-06-18,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,,,,,
2025-06-19,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,6371,椿本チエイン,0.5099240495196642,-0.7847533632286963,0.0
2025-06-20,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,,,,,
2025-06-24,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,,,,,
2025-06-25,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,4732,ユー・エス・エス,0.678790586125809,-0.09646302250804206,0.0
2025-06-26,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,,,,,
2025-06-27,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,,,,,
2025-06-30,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,7060,ギークス,1.0022844024277826,5.624999999999991,1.0
2025-07-01,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,9386,日本コンセプト,0.8363882792516509,0.0,0.0
2025-07-02,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,,,,,
2025-07-07,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,,,,,
2025-07-08,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,5463,丸一鋼管,0.665468287384544,0.5932203389830581,1.0
2025-07-09,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,,,,,
2025-07-10,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,,,,,
2025-07-11,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,3697,ＳＨＩＦＴ,0.4108958603709463,-4.557042702358194,0.0
2025-07-14,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,,,,,
2025-07-15,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,3073,ＤＤグループ,1.1382330796750806,0.05899705014749124,1.0
2025-07-16,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,,,,,
2025-07-23,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,7818,トランザクション,0.6072535294173784,0.8957654723126929,1.0
2025-07-24,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,,,,,
2025-07-25,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,,,,,
2025-07-28,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,6338,タカトリ,0.5363081677643141,-0.37336652146857663,0.0
2025-07-29,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,,,,,
2025-07-30,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,4498,サイバートラスト,0.5704091572916007,-0.9589041095890427,0.0
2025-07-31,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,4114,日本触媒,0.8832039894470795,0.49722140976893314,1.0
2024-07-01,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,1,4967,小林製薬,0.4645485205087294,1.9230769230769162,1.0
2024-07-01,U01_MATCHED_NO_EVENT_K2,U01_MATCHED_NO_EVENT,2,2,,,,,
