feature_set,portfolio_top_k,date,code,name,model_rank,model_score,label,oc_return_pct,outcome_observed,source_complete,universe_source_complete,universe_source_date,tdnet_any,tdnet_positive,tdnet_negative
baseline_12,2,2024-06-10,9503,関⻄電力,2,0.5529582128529186,1.0,1.2889366272824887,True,True,True,2024-06-07,0.0,0.0,0.0
baseline_12,2,2024-06-11,6151,日東⼯器,1,0.5491497191224634,1.0,0.7562277580071219,True,True,True,2024-06-10,0.0,0.0,0.0
baseline_12,2,2024-06-11,2929,ファーマフーズ,2,0.5439709719115757,1.0,6.302521008403361,True,True,True,2024-06-10,1.0,0.0,0.0
baseline_12,2,2024-06-12,1968,太平電業,1,0.5607936592203295,1.0,1.7307692307692246,True,True,True,2024-06-11,0.0,0.0,0.0
baseline_12,2,2024-06-12,6151,日東⼯器,2,0.5520393695935681,1.0,0.4880212954747165,True,True,True,2024-06-11,0.0,0.0,0.0
baseline_12,2,2024-06-13,6151,日東⼯器,1,0.5545861459382567,1.0,1.2894619831036014,True,True,True,2024-06-12,0.0,0.0,0.0
baseline_12,2,2024-06-13,1766,東建コーポレーション,2,0.5518513936172915,0.0,-1.7094017094017144,True,True,True,2024-06-12,0.0,0.0,0.0
baseline_12,2,2024-06-14,3760,ケイブ,1,0.5615025589448212,1.0,3.7297677691766395,True,True,True,2024-06-13,0.0,0.0,0.0
baseline_12,2,2024-06-14,6577,ベストワンドットコム,2,0.5600725526416657,0.0,-3.3703836500537876,True,True,True,2024-06-13,0.0,0.0,0.0
baseline_12,2,2024-06-17,3083,シーズメン,1,0.5456883243556343,1.0,1.5564202334630295,True,True,True,2024-06-14,0.0,0.0,0.0
baseline_12,2,2024-06-17,6577,ベストワンドットコム,2,0.5450092686500159,0.0,-2.335766423357666,True,True,True,2024-06-14,0.0,0.0,0.0
baseline_12,2,2024-06-18,3134,Ｈａｍｅｅ,1,0.5663655349213387,1.0,0.18099547511312153,True,True,True,2024-06-17,0.0,0.0,0.0
baseline_12,2,2024-06-18,7752,リコー,2,0.5626775165626511,0.0,-0.910746812386154,True,True,True,2024-06-17,0.0,0.0,0.0
baseline_12,2,2024-06-19,8254,さいか屋,1,0.5558175798445476,1.0,3.4567901234567877,True,True,True,2024-06-18,0.0,0.0,0.0
baseline_12,2,2024-06-19,9421,エヌジェイホールディングス,2,0.5552930506298545,1.0,4.843749999999991,True,True,True,2024-06-18,0.0,0.0,0.0
baseline_12,2,2024-06-20,4020,ビートレンド,1,0.562648630096649,0.0,-0.9575923392612817,True,True,True,2024-06-19,0.0,0.0,0.0
baseline_12,2,2024-06-20,3733,ソフトウェア・サービス,2,0.5577141394902264,1.0,0.7554945054945028,True,True,True,2024-06-19,0.0,0.0,0.0
baseline_12,2,2024-06-21,7874,レック,1,0.555742228555339,0.0,-0.4376367614879695,True,True,True,2024-06-20,0.0,0.0,0.0
baseline_12,2,2024-06-21,2540,養命酒製造,2,0.548634438474337,0.0,-1.755965781179647,True,True,True,2024-06-20,0.0,0.0,0.0
baseline_12,2,2024-06-24,6151,日東⼯器,1,0.5556470034957376,1.0,0.20859407592823676,True,True,True,2024-06-21,0.0,0.0,0.0
baseline_12,2,2024-06-24,1813,不動テトラ,2,0.5535611526111628,1.0,0.562700964630225,True,True,True,2024-06-21,0.0,0.0,0.0
baseline_12,2,2024-06-25,3997,トレードワークス,1,0.5742717709924697,1.0,1.9832985386221358,True,True,True,2024-06-24,0.0,0.0,0.0
baseline_12,2,2024-06-25,6151,日東⼯器,2,0.5568458874337463,1.0,0.04161464835621409,True,True,True,2024-06-24,0.0,0.0,0.0
baseline_12,2,2024-06-26,8254,さいか屋,1,0.5698699161635858,0.0,-1.8867924528301883,True,True,True,2024-06-25,0.0,0.0,0.0
baseline_12,2,2024-06-26,6151,日東⼯器,2,0.5612769994209285,0.0,-1.568951279933939,True,True,True,2024-06-25,0.0,0.0,0.0
baseline_12,2,2024-06-27,6151,日東⼯器,1,0.5682465483817442,1.0,0.5872483221476488,True,True,True,2024-06-26,0.0,0.0,0.0
baseline_12,2,2024-06-27,7874,レック,2,0.5564430132816831,0.0,-3.1297709923664097,True,True,True,2024-06-26,0.0,0.0,0.0
baseline_12,2,2024-06-28,6151,日東⼯器,1,0.5602882972296808,1.0,0.7500000000000062,True,True,True,2024-06-27,0.0,0.0,0.0
baseline_12,2,2024-06-28,4462,石原ケミカル,2,0.5572574037487223,0.0,-3.857320613853177,True,True,True,2024-06-27,0.0,0.0,0.0
baseline_12,2,2024-07-01,7874,レック,1,0.5689461457994889,0.0,-2.025931928687197,True,True,True,2024-06-28,0.0,0.0,0.0
baseline_12,2,2024-07-01,4462,石原ケミカル,2,0.5632160916394091,1.0,0.7765314926660993,True,True,True,2024-06-28,0.0,0.0,0.0
baseline_12,2,2024-07-02,4664,アール・エス・シー,1,0.5978680676094317,0.0,-0.6980802792321161,True,True,True,2024-07-01,0.0,0.0,0.0
baseline_12,2,2024-07-02,5038,ｅＷｅＬＬ,2,0.5811667319298812,1.0,2.334062727935815,True,True,True,2024-07-01,0.0,0.0,0.0
baseline_12,2,2024-07-03,6151,日東⼯器,1,0.5862633280381427,0.0,-4.340497260851239,True,True,True,2024-07-02,0.0,0.0,0.0
baseline_12,2,2024-07-03,7874,レック,2,0.5744545749335223,1.0,1.5371477369769515,True,True,True,2024-07-02,0.0,0.0,0.0
baseline_12,2,2024-07-04,6151,日東⼯器,1,0.5908469619900154,0.0,-0.9683098591549255,True,True,True,2024-07-03,0.0,0.0,0.0
baseline_12,2,2024-07-04,4177,ｉ‐ｐｌｕｇ,2,0.5799699251777889,0.0,-1.6666666666666718,True,True,True,2024-07-03,1.0,0.0,0.0
baseline_12,2,2024-08-02,3054,ハイパー,1,0.588687450148997,0.0,-3.1976744186046457,True,True,True,2024-08-01,0.0,0.0,0.0
baseline_12,2,2024-08-02,2296,伊藤ハム米久ホールディングス,2,0.5759326221970597,0.0,-1.8844221105527637,True,True,True,2024-08-01,1.0,0.0,0.0
baseline_12,2,2024-08-05,6930,日本アンテナ,1,0.5860252970138964,0.0,-7.152875175315565,True,True,True,2024-08-02,0.0,0.0,0.0
baseline_12,2,2024-08-05,6199,セラク,2,0.57999435247166,0.0,-9.51492537313433,True,True,True,2024-08-02,0.0,0.0,0.0
baseline_12,2,2024-08-06,7035,ａｎｄ ｆａｃｔｏｒｙ,1,0.6764900426542826,0.0,-7.8767123287671215,True,True,True,2024-08-05,0.0,0.0,0.0
baseline_12,2,2024-08-06,3910,エムケイシステム,2,0.661714785940236,1.0,7.924528301886791,True,True,True,2024-08-05,1.0,0.0,0.0
baseline_12,2,2024-08-07,4814,ネクストウェア,1,0.6111657755314914,1.0,4.8387096774193505,True,True,True,2024-08-06,0.0,0.0,0.0
baseline_12,2,2024-08-07,7782,シンシア,2,0.6005135869036772,1.0,6.02739726027397,True,True,True,2024-08-06,0.0,0.0,0.0
baseline_12,2,2024-08-08,4762,エックスネット,1,0.5795154523694009,1.0,4.502541757443712,True,True,True,2024-08-07,0.0,0.0,0.0
baseline_12,2,2024-08-08,4293,セプテーニ・ホールディングス,2,0.5649903037117803,0.0,-1.2658227848101222,True,True,True,2024-08-07,0.0,0.0,0.0
baseline_12,2,2024-08-09,7956,ピジョン,1,0.5615170840126729,1.0,0.9293680297397744,True,True,True,2024-08-08,1.0,0.0,0.0
baseline_12,2,2024-08-09,4921,ファンケル,2,0.5600710882193215,0.0,-0.10727695333452303,True,True,True,2024-08-08,0.0,0.0,0.0
baseline_12,2,2024-08-13,7990,グローブライド,1,0.5766829605144251,0.0,-0.5115089514066473,True,True,True,2024-08-09,0.0,0.0,0.0
baseline_12,2,2024-08-13,7421,カッパ・クリエイト,2,0.5709264437674193,1.0,1.5116279069767424,True,True,True,2024-08-09,0.0,0.0,0.0
baseline_12,2,2024-08-14,1871,ピーエス・コンストラクション,1,0.5498983127388404,0.0,-0.4060913705583702,True,True,True,2024-08-13,0.0,0.0,0.0
baseline_12,2,2024-08-14,4921,ファンケル,2,0.5467048780994728,0.0,-0.10721944245889459,True,True,True,2024-08-13,0.0,0.0,0.0
baseline_12,2,2024-08-15,3397,トリドールホールディングス,1,0.5595291849483532,0.0,-0.598973188819163,True,True,True,2024-08-14,1.0,0.0,0.0
baseline_12,2,2024-08-15,4921,ファンケル,2,0.5495147575862003,0.0,0.0,True,True,True,2024-08-14,0.0,0.0,0.0
baseline_12,2,2024-08-16,8139,ナガホリ,1,0.5507345282541386,1.0,0.8046817849304944,True,True,True,2024-08-15,0.0,0.0,0.0
baseline_12,2,2024-08-16,8282,ケーズホールディングス,2,0.5506976924969101,1.0,0.5566470203012486,True,True,True,2024-08-15,0.0,0.0,0.0
baseline_12,2,2024-08-19,8282,ケーズホールディングス,1,0.5450504284441408,0.0,-0.5501618122977336,True,True,True,2024-08-16,0.0,0.0,0.0
baseline_12,2,2024-08-19,8252,丸井グループ,2,0.5445140381542464,0.0,-0.2777777777777768,True,True,True,2024-08-16,0.0,0.0,0.0
baseline_12,2,2024-08-20,4005,住友化学,1,0.5498084610431246,0.0,-0.3074739829706741,True,True,True,2024-08-19,0.0,0.0,0.0
baseline_12,2,2024-08-20,8282,ケーズホールディングス,2,0.5435637917755023,1.0,2.1145087833441822,True,True,True,2024-08-19,0.0,0.0,0.0
baseline_12,2,2024-08-21,4005,住友化学,1,0.548039674942807,0.0,-1.6826923076923128,True,True,True,2024-08-20,0.0,0.0,0.0
baseline_12,2,2024-08-21,4921,ファンケル,2,0.5402824575841584,0.0,0.0,True,True,True,2024-08-20,0.0,0.0,0.0
baseline_12,2,2024-08-22,3974,ＳＣＡＴ,1,0.5573423560268667,1.0,0.46511627906977715,True,True,True,2024-08-21,0.0,0.0,0.0
baseline_12,2,2024-08-22,4194,ビジョナル,2,0.5452100687114856,1.0,3.3333333333333437,True,True,True,2024-08-21,0.0,0.0,0.0
baseline_12,2,2024-08-23,2923,サトウ食品,1,0.5545858203256341,1.0,4.438642297650142,True,True,True,2024-08-22,0.0,0.0,0.0
baseline_12,2,2024-08-23,5660,神鋼鋼線⼯業,2,0.5440033572974357,1.0,2.1333333333333426,True,True,True,2024-08-22,0.0,0.0,0.0
baseline_12,2,2024-08-26,3673,ブロードリーフ,1,0.5511343118992836,1.0,1.4409221902017322,True,True,True,2024-08-23,0.0,0.0,0.0
baseline_12,2,2024-08-26,6870,日本フェンオール,2,0.5442696656316172,0.0,-0.41249263406010206,True,True,True,2024-08-23,0.0,0.0,0.0
baseline_12,2,2024-08-27,4005,住友化学,1,0.559394618829249,1.0,1.8269230769230926,True,True,True,2024-08-26,0.0,0.0,0.0
