date,model_rank,code,name,model_score,oc_return_pct,tail_condition_count,tail_flag__range_expansion,tail_flag__close_volatility_expansion,tail_flag__deep_60d_relative_loser,tail_flag__frequent_flat_session,tail_flag__large_positive_overnight,session_range_ratio_5_20,cc_vol_ratio_5_20,xrank_close_momentum_60,flat_oc_rate_20,overnight_last,display_source
2025-04-07,1,7036,イーエムネットジャパン,0.6096224529173999,-8.115942028985511,2,True,True,False,False,False,1.5550289,1.7181787,-0.4280629,0.055555556,-1.4476614699331813,v07_g0_replay
2025-04-07,2,2338,クオンタムソリューションズ,0.5781317577357614,3.0162412993039345,0,False,False,False,False,False,0.78867286,0.40552545,0.20973004,0.0,0.6036217303822866,v07_g0_replay
2025-04-08,1,5845,全保連,0.5833835608140788,4.661016949152552,2,True,False,False,True,False,3.0499082,1.6482668,0.45697328,0.1,-6.499999999999995,v07_g0_replay
2025-04-08,2,5031,モイ,0.5755291771992488,2.604166666666674,3,True,False,True,True,False,1.5802511,1.4400506,-0.6866469,0.2,-6.0747663551401825,v07_g0_replay
2025-04-09,1,9063,岡山県貨物運送,0.5816736108371656,3.092783505154628,3,True,False,False,True,True,1.5539399,1.2016087,0.67009705,0.11111111,11.186440677966104,v07_g0_replay
2025-04-09,2,7266,今仙電機製作所,0.5750510075014129,-3.839441535776611,3,True,True,False,False,True,1.8837758,1.9251785,0.6671567,0.0,7.476635514018692,v07_g0_replay
2025-04-10,1,9165,クオルテック,0.5773932821493146,-6.797706797706793,3,True,True,False,False,True,2.3692162,1.8272114,-0.370229,0.05,2.685765443151289,v07_g0_replay
2025-04-10,2,7266,今仙電機製作所,0.5688463593738835,-3.846153846153844,2,True,True,False,False,False,1.9580301,1.8763047,0.498532,0.0,-1.715265866209259,v07_g0_replay
2025-04-11,1,7266,今仙電機製作所,0.5864319424861295,0.6956521739130528,3,True,True,False,False,True,1.9288561,1.9816604,0.5310586,0.0,8.529945553539008,v07_g0_replay
2025-04-11,2,7901,マツモト,0.5806606982897914,0.2710027100270906,3,True,True,False,False,True,1.8602172,1.9859744,-0.58646834,0.05,8.571428571428562,v07_g0_replay
2025-04-14,1,7043,アルー,0.5556236345991707,2.2222222222222143,0,False,False,False,False,False,1.4247962,0.8704396,0.80430984,0.0,-1.4749262536873142,v07_g0_replay
2025-04-14,2,8025,ツカモトコーポレーション,0.5508358623515065,1.3513513513513598,2,True,True,False,False,False,1.6053609,1.8673929,0.5631916,0.05,-0.16666666666667052,v07_g0_replay
2025-04-15,1,7043,アルー,0.5725922445848486,1.4684287812041008,0,False,False,False,False,False,0.8493741,0.9505058,0.795942,0.0,-0.8810572687224627,v07_g0_replay
2025-04-15,2,8025,ツカモトコーポレーション,0.5540227802309274,-1.4202172096908994,2,False,True,False,False,True,1.2556869,1.836447,0.69739133,0.05,2.5996533795493937,v07_g0_replay
2025-04-16,1,7043,アルー,0.5689723994662583,0.0,0,False,False,False,False,False,0.6743418,0.4167986,0.77329105,0.0,-1.30434782608696,v07_g0_replay
2025-04-16,2,9244,デジタリフト,0.5562138512812445,-0.7052186177715081,1,False,False,False,False,True,0.6554202,0.66704917,-0.1664263,0.05,2.121640735502117,v07_g0_replay
2025-04-17,1,7043,アルー,0.5742576426196042,-0.5772005772005762,0,False,False,False,False,False,0.5511117,0.38918346,0.76860934,0.05,0.0,v07_g0_replay
2025-04-17,2,9244,デジタリフト,0.5533085743174998,0.0,0,False,False,False,False,False,0.6426764,0.53954285,-0.1557992,0.05,0.0,v07_g0_replay
2025-04-18,1,7043,アルー,0.5660309797966652,0.8771929824561431,0,False,False,False,False,False,0.47036466,0.42077297,0.7862507,0.05,0.28943560057888007,v07_g0_replay
2025-04-18,2,5982,マルゼン,0.5529739742282413,-1.4106583072100332,0,False,False,False,False,False,1.0925491,0.7731199,0.06585789,0.0,0.9508716323296307,v07_g0_replay
2025-04-21,1,7043,アルー,0.566696917168164,0.8746355685131268,0,False,False,False,False,False,0.43575677,0.42235386,0.7338733,0.05,-0.7256894049346929,v07_g0_replay
2025-04-21,2,8887,クミカ,0.5656540494603329,-0.5988023952095856,0,False,False,False,False,False,0.58829564,0.206903,0.578247,0.0,0.5988023952095745,v07_g0_replay
2025-04-22,1,7043,アルー,0.5674122834674428,1.3157894736842035,0,False,False,False,False,False,0.40615278,0.20935711,0.7649783,0.05,-0.5797101449275366,v07_g0_replay
2025-04-22,2,8887,クミカ,0.5645849910014108,2.752293577981657,0,False,False,False,False,False,0.46375823,0.20709677,0.5918958,0.0,0.0,v07_g0_replay
2025-04-23,1,7043,アルー,0.5674879295376098,-0.575539568345329,0,False,False,False,False,False,0.39423397,0.28692234,0.76600057,0.05,-1.1560693641618491,v07_g0_replay
2025-04-23,2,3712,情報企画,0.555679148981277,0.7559395248380119,0,False,False,False,False,False,0.5008684,0.25013193,0.60092676,0.05,0.43572984749455923,v07_g0_replay
2025-04-24,1,7043,アルー,0.573671474332416,0.5788712011577379,0,False,False,False,False,False,0.40481567,0.35677087,0.7322926,0.05,0.28860028860029363,v07_g0_replay
2025-04-24,2,6226,守⾕輸送機⼯業,0.5548214743958143,-0.1096892138939709,0,False,False,False,False,False,0.7335243,0.47614244,0.5131541,0.05,0.4577464788732444,v07_g0_replay
2025-04-25,1,7043,アルー,0.5665766858748758,0.1436781609195359,0,False,False,False,False,False,0.39905566,0.40761083,0.7680069,0.05,0.0,v07_g0_replay
2025-04-25,2,3387,クリエイト・レストランツ・ホールディングス,0.5567114536968912,-1.4967925873129009,0,False,False,False,False,False,0.7925323,0.9532524,0.6129592,0.05,-0.2711864406779618,v07_g0_replay
2025-04-28,1,6967,新光電気⼯業,0.5812850817717237,-0.2370069409175501,0,False,False,False,False,False,0.0531048,0.016970064,0.22292994,0.0,-0.03376667229444408,v07_g0_replay
2025-04-28,2,7043,アルー,0.5630205526733142,-0.4304160688665681,0,False,False,False,False,False,0.36388263,0.4109704,0.72785175,0.05,0.14388489208632116,v07_g0_replay
2025-04-30,1,8518,日本アジア投資,0.5673364732320195,-3.879310344827591,0,False,False,False,False,False,0.6505168,0.41418913,0.58313954,0.0,0.0,v07_g0_replay
2025-04-30,2,7043,アルー,0.561133790523898,0.1440922190201643,0,False,False,False,False,False,0.33018744,0.534415,0.7,0.05,0.0,v07_g0_replay
2025-05-01,1,8518,日本アジア投資,0.5749247484455282,-2.26244343891403,0,False,False,False,False,False,0.66841704,0.3997153,0.6505814,0.0,0.43290043290042934,v07_g0_replay
2025-05-01,2,7043,アルー,0.5625214955933258,0.2877697841726645,0,False,False,False,False,False,0.27708557,0.5356894,0.65930235,0.05,0.0,v07_g0_replay
2025-05-02,1,8518,日本アジア投資,0.5764681114552941,-0.9216589861751112,0,False,False,False,False,False,0.67443913,0.3813781,0.46200874,0.0,-0.8968609865470878,v07_g0_replay
2025-05-02,2,3917,アイリッジ,0.5642982423465291,-3.669724770642202,1,False,False,True,False,False,0.6271248,0.18403146,-0.6768559,0.0,1.2939001848428777,v07_g0_replay
