candidate_id,date,model_rank,code,name,label,oc_return_pct,ensemble_score
O01_softmax_ewma_vote_hl20,2024-07-23,1,6048,デザインワン・ジャパン,0.0,-2.0689655172413834,0.5357536165768505
O01_softmax_ewma_vote_hl20,2024-07-23,2,6707,サンケン電気,0.0,-1.3733333333333375,0.17332127132644892
O02_equal_vote_control,2024-07-23,1,6048,デザインワン・ジャパン,0.0,-2.0689655172413834,0.5357142857142856
O02_equal_vote_control,2024-07-23,2,3800,ユニリタ,0.0,-0.3535353535353502,0.14285714285714285
O03_follow_leader_hl20,2024-07-23,1,1518,三井松島ホールディングス,0.0,-0.1824817518248145,
O03_follow_leader_hl20,2024-07-23,2,4687,ＴＤＣソフト,1.0,1.4901960784313717,
C00_daily_rank_ridge,2024-07-23,1,6048,デザインワン・ジャパン,0.0,-2.0689655172413834,
C00_daily_rank_ridge,2024-07-23,2,6707,サンケン電気,0.0,-1.3733333333333375,
O01_softmax_ewma_vote_hl20,2024-07-24,1,6762,ＴＤＫ,0.0,-0.1469147894221367,0.33093727878368984
O01_softmax_ewma_vote_hl20,2024-07-24,2,7256,河⻄⼯業,0.0,-4.147465437788023,0.20501990787512517
O02_equal_vote_control,2024-07-24,1,6762,ＴＤＫ,0.0,-0.1469147894221367,0.2857142857142857
O02_equal_vote_control,2024-07-24,2,7256,河⻄⼯業,0.0,-4.147465437788023,0.2857142857142857
O03_follow_leader_hl20,2024-07-24,1,1518,三井松島ホールディングス,0.0,-1.645338208409508,
O03_follow_leader_hl20,2024-07-24,2,7043,アルー,0.0,-0.8363201911589013,
C00_daily_rank_ridge,2024-07-24,1,6762,ＴＤＫ,0.0,-0.1469147894221367,
C00_daily_rank_ridge,2024-07-24,2,9246,プロジェクトホールディングス,0.0,-0.0734753857457803,
O01_softmax_ewma_vote_hl20,2024-07-25,1,7043,アルー,1.0,1.0882708585247869,0.3505695378583461
O01_softmax_ewma_vote_hl20,2024-07-25,2,6707,サンケン電気,0.0,-7.9125,0.18657398950738047
O02_equal_vote_control,2024-07-25,1,6707,サンケン電気,0.0,-7.9125,0.2857142857142857
O02_equal_vote_control,2024-07-25,2,7043,アルー,1.0,1.0882708585247869,0.21428571428571427
O03_follow_leader_hl20,2024-07-25,1,7043,アルー,1.0,1.0882708585247869,
O03_follow_leader_hl20,2024-07-25,2,1518,三井松島ホールディングス,0.0,-1.6981132075471694,
C00_daily_rank_ridge,2024-07-25,1,7043,アルー,1.0,1.0882708585247869,
C00_daily_rank_ridge,2024-07-25,2,6113,アマダ,0.0,-2.4864246927693623,
O01_softmax_ewma_vote_hl20,2024-07-26,1,4588,オンコリスバイオファーマ,0.0,0.0,0.3240555613630893
O01_softmax_ewma_vote_hl20,2024-07-26,2,7043,アルー,0.0,-0.2395209580838275,0.15692717762745048
O02_equal_vote_control,2024-07-26,1,4588,オンコリスバイオファーマ,0.0,0.0,0.3928571428571428
O02_equal_vote_control,2024-07-26,2,9036,東部ネットワーク,0.0,-0.1053740779768164,0.10714285714285714
O03_follow_leader_hl20,2024-07-26,1,7043,アルー,0.0,-0.2395209580838275,
O03_follow_leader_hl20,2024-07-26,2,4588,オンコリスバイオファーマ,0.0,0.0,
C00_daily_rank_ridge,2024-07-26,1,5256,Ｆｕｓｉｃ,0.0,-0.4538577912254204,
C00_daily_rank_ridge,2024-07-26,2,9812,テーオーホールディングス,0.0,-6.020942408376961,
O01_softmax_ewma_vote_hl20,2024-07-29,1,5247,ＢＴＭ,1.0,3.5409836065573685,0.31797888604181007
O01_softmax_ewma_vote_hl20,2024-07-29,2,2108,日本甜菜製糖,0.0,-0.153668843641952,0.30394173365302285
O02_equal_vote_control,2024-07-29,1,2108,日本甜菜製糖,0.0,-0.153668843641952,0.2857142857142857
O02_equal_vote_control,2024-07-29,2,5247,ＢＴＭ,1.0,3.5409836065573685,0.25
O03_follow_leader_hl20,2024-07-29,1,2108,日本甜菜製糖,0.0,-0.153668843641952,
O03_follow_leader_hl20,2024-07-29,2,3914,ＪＩＧ−ＳＡＷ,0.0,-5.688622754491012,
C00_daily_rank_ridge,2024-07-29,1,5247,ＢＴＭ,1.0,3.5409836065573685,
C00_daily_rank_ridge,2024-07-29,2,7175,今村証券,1.0,0.2939015429830993,
O01_softmax_ewma_vote_hl20,2024-07-30,1,7043,アルー,1.0,2.4242424242424176,0.5642247056994949
O01_softmax_ewma_vote_hl20,2024-07-30,2,6988,日東電⼯,1.0,1.984732824427482,0.19101951800905115
O02_equal_vote_control,2024-07-30,1,7043,アルー,1.0,2.4242424242424176,0.3928571428571428
O02_equal_vote_control,2024-07-30,2,6988,日東電⼯,1.0,1.984732824427482,0.2857142857142857
O03_follow_leader_hl20,2024-07-30,1,7043,アルー,1.0,2.4242424242424176,
O03_follow_leader_hl20,2024-07-30,2,6988,日東電⼯,1.0,1.984732824427482,
C00_daily_rank_ridge,2024-07-30,1,7043,アルー,1.0,2.4242424242424176,
C00_daily_rank_ridge,2024-07-30,2,9818,大丸エナウィン,0.0,0.0,
O01_softmax_ewma_vote_hl20,2024-07-31,1,9340,アソインターナショナル,1.0,3.2032032032031976,0.31630914722441084
O01_softmax_ewma_vote_hl20,2024-07-31,2,3934,ベネフィットジャパン,0.0,-1.4705882352941124,0.3049618369943976
O02_equal_vote_control,2024-07-31,1,6727,ワコム,0.0,-1.6216216216216162,0.2857142857142857
O02_equal_vote_control,2024-07-31,2,3934,ベネフィットジャパン,0.0,-1.4705882352941124,0.21428571428571427
O03_follow_leader_hl20,2024-07-31,1,3914,ＪＩＧ−ＳＡＷ,1.0,4.125950054288818,
O03_follow_leader_hl20,2024-07-31,2,4475,ＨＥＮＮＧＥ,1.0,1.525262154432783,
C00_daily_rank_ridge,2024-07-31,1,9340,アソインターナショナル,1.0,3.2032032032031976,
C00_daily_rank_ridge,2024-07-31,2,3934,ベネフィットジャパン,0.0,-1.4705882352941124,
O01_softmax_ewma_vote_hl20,2024-08-01,1,8139,ナガホリ,1.0,2.3668639053254337,0.44324250312385044
O01_softmax_ewma_vote_hl20,2024-08-01,2,8938,グローム・ホールディングス,0.0,-4.433497536945808,0.1880748852779115
O02_equal_vote_control,2024-08-01,1,8139,ナガホリ,1.0,2.3668639053254337,0.3214285714285714
O02_equal_vote_control,2024-08-01,2,8938,グローム・ホールディングス,0.0,-4.433497536945808,0.21428571428571427
O03_follow_leader_hl20,2024-08-01,1,8938,グローム・ホールディングス,0.0,-4.433497536945808,
O03_follow_leader_hl20,2024-08-01,2,4888,ステラファーマ,0.0,-1.9955654101995512,
C00_daily_rank_ridge,2024-08-01,1,8139,ナガホリ,1.0,2.3668639053254337,
C00_daily_rank_ridge,2024-08-01,2,4496,コマースＯｎｅホールディングス,1.0,1.4084507042253502,
O01_softmax_ewma_vote_hl20,2024-08-02,1,4549,栄研化学,0.0,-2.6889197960129785,0.3652332184594008
O01_softmax_ewma_vote_hl20,2024-08-02,2,3673,ブロードリーフ,0.0,-3.041144901610016,0.26342629116901217
O02_equal_vote_control,2024-08-02,1,4549,栄研化学,0.0,-2.6889197960129785,0.2857142857142857
